#1
#Denver
# 39.883         -104.65          1650            1
#
# hy	G_Bh	G_Dh	Ta	FF	DD	RH	N	p
double tab1(8760,9)
203	341	64	3.90	5.2	100	35	0	824
204	401	70	3.30	5.2	100	39	0	824
205	406	71	3.30	6.2	90	41	0	823
206	356	66	3.90	6.2	100	39	0	823
207	257	56	4.40	5.7	120	34	0	822
208	125	41	3.90	4.6	70	39	0	823
209	13	15	2.80	4.1	100	42	0	822
210	0	0	1.10	4.1	150	48	0	823
211	0	0	0.00	4.6	170	60	0	822
212	0	0	0.60	4.6	170	66	0	821
213	0	0	-1.70	5.2	170	69	0	821
214	0	0	-1.70	5.7	170	72	0	821
215	0	0	-2.80	5.2	220	76	0	821
216	0	0	-4.40	5.7	220	82	0	819
217	0	0	-4.40	5.7	210	82	0	818
218	0	0	-5.00	5.2	210	75	0	819
219	0	0	-5.00	4.1	190	75	0	819
220	0	0	-5.60	5.7	210	72	0	819
221	0	0	-6.10	5.2	190	75	1	819
222	0	0	-6.70	4.6	200	71	0	819
223	0	0	-5.60	3.6	230	62	2	818
224	12	7	-5.00	5.2	200	61	0	818
225	125	25	-1.70	5.7	220	46	0	821
226	268	35	1.70	5.7	240	34	0	824
227	379	43	4.40	5.7	220	26	0	823
228	441	47	6.10	4.1	220	19	0	825
229	447	47	7.20	1.5	220	17	0	824
230	396	44	7.20	2.1	210	18	0	824
231	295	37	6.70	0	0	18	0	825
232	156	27	6.10	2.6	40	21	0	825
233	24	12	3.30	2.1	70	26	0	826
234	0	0	0.60	2.6	290	35	0	824
235	0	0	-1.10	3.6	220	42	0	824
236	0	0	-2.20	3.6	230	46	0	824
237	0	0	-1.10	3.6	240	42	0	822
238	0	0	-3.30	5.2	220	53	0	821
239	0	0	-4.40	3.6	220	61	0	826
240	0	0	-5.00	7.7	210	59	0	820
241	0	0	-5.60	5.7	220	62	0	820
242	0	0	-6.10	5.7	230	64	0	821
243	0	0	-6.10	3.6	300	61	0	820
244	0	0	-5.60	5.7	230	59	2	820
245	0	0	-5.00	6.2	230	53	4	824
246	0	0	-3.90	5.7	230	46	2	821
247	0	0	-3.90	5.2	230	46	4	821
248	5	12	-3.30	5.7	220	46	6	823
249	55	55	-1.70	6.7	210	40	8	827
250	204	81	1.10	4.6	230	29	7	830
251	221	105	7.20	3.1	200	19	8	830
252	338	120	7.80	2.1	110	13	7	829
253	307	164	10.60	6.2	90	11	8	830
254	306	119	11.70	7.7	90	8	7	829
255	67	134	12.20	7.2	110	9	9	830
256	23	81	10.00	4.6	110	10	10	830
257	4	28	8.30	4.1	120	9	9	823
258	0	0	7.80	3.1	40	11	10	829
259	0	0	7.20	2.6	320	14	10	828
260	0	0	5.60	4.1	260	19	10	825
261	0	0	4.40	4.6	240	23	10	821
262	0	0	6.10	4.6	260	18	10	822
263	0	0	4.40	4.1	240	24	10	822
264	0	0	3.90	4.6	240	26	10	820
265	0	0	2.80	4.6	250	30	10	819
266	0	0	0.00	3.6	220	35	10	821
267	0	0	-1.10	3.1	230	40	10	823
268	0	0	-3.30	4.6	230	51	10	823
269	0	0	-5.00	3.6	220	59	10	825
270	0	0	-5.60	4.1	230	59	10	822
271	0	0	-6.10	4.1	230	61	10	824
272	0	4	-4.40	4.1	240	53	10	825
273	0	38	-0.60	4.1	230	41	10	828
274	0	76	2.20	4.1	220	30	10	831
275	0	104	6.10	3.1	240	25	10	830
276	0	100	7.80	1.5	180	21	10	834
277	0	122	7.80	4.1	120	19	10	833
278	0	91	8.90	5.7	90	16	10	833
279	0	83	8.30	5.2	100	17	10	833
280	0	47	8.30	4.1	100	17	10	835
281	0	12	4.40	5.2	110	23	10	833
282	0	0	2.20	4.6	130	30	10	835
283	0	0	2.20	4.6	150	31	10	835
284	0	0	2.20	4.1	150	31	10	837
285	0	0	-1.10	2.6	220	40	10	835
286	0	0	-2.20	3.1	210	48	8	834
287	0	0	-1.70	4.6	190	44	7	839
288	0	0	-1.70	4.1	220	49	8	835
289	0	0	0.60	4.6	210	41	4	836
290	0	0	3.30	4.1	220	34	7	836
291	0	0	2.80	5.2	220	35	3	837
292	0	0	2.80	3.1	190	37	0	836
293	0	0	3.30	2.6	220	35	0	842
294	0	0	2.80	3.6	220	37	0	840
295	0	0	2.20	4.6	220	38	0	840
296	15	6	3.30	5.7	230	37	0	842
297	138	22	5.60	3.6	230	31	0	844
298	287	31	7.80	4.1	250	27	0	845
299	402	38	9.40	4.1	230	23	0	844
300	466	42	9.40	2.6	230	23	0	845
301	402	92	10.00	1.5	210	22	1	844
302	414	42	9.40	1.5	180	22	1	844
303	288	35	9.40	0	0	22	1	844
304	147	24	9.40	0	0	22	1	845
305	22	18	8.30	4.1	20	24	4	842
306	0	0	7.20	2.6	40	26	4	844
307	0	0	6.70	4.1	180	31	3	842
308	0	0	6.70	0	0	31	5	842
309	0	0	6.10	4.1	240	30	4	841
310	0	0	3.30	3.6	240	37	5	840
311	0	0	1.70	3.1	240	40	5	842
312	0	0	2.80	4.6	220	38	7	838
313	0	0	5.60	5.7	220	35	7	838
314	0	0	6.70	3.1	200	32	9	838
315	0	0	7.20	5.2	200	31	9	838
316	0	0	6.70	4.1	190	32	9	839
317	0	0	6.70	4.6	180	31	4	839
318	0	0	6.70	4.1	130	31	4	839
319	0	0	6.70	6.2	170	31	7	840
320	2	12	6.70	6.2	170	31	8	840
321	50	69	8.30	5.7	200	29	5	842
322	113	133	10.00	4.1	220	25	5	844
323	226	113	12.20	6.2	210	21	5	840
324	405	108	12.80	3.1	220	20	3	844
325	197	92	13.30	2.1	160	19	4	843
326	123	127	13.30	3.1	100	19	8	842
327	89	150	12.80	6.2	80	19	9	842
328	7	77	12.20	5.2	90	20	10	841
329	1	16	10.00	4.1	80	23	10	836
330	0	0	8.90	4.1	100	26	10	836
331	0	0	7.20	5.7	160	28	10	836
332	0	0	5.60	5.7	180	33	10	837
333	0	0	2.80	5.7	180	38	10	835
334	0	0	1.10	5.2	170	46	10	834
335	0	0	0.60	5.2	220	49	10	835
336	0	0	-1.10	5.2	250	57	10	832
337	0	0	-1.10	4.6	240	57	10	832
338	0	0	-1.70	4.1	230	57	1	832
339	0	0	-1.70	3.6	230	57	0	832
340	0	0	-2.20	4.1	230	59	0	832
341	0	0	-1.70	4.6	230	54	0	835
342	0	0	-1.10	4.1	240	49	0	832
343	0	0	-2.80	5.2	230	57	0	832
344	13	7	-2.20	4.6	230	56	0	834
345	131	26	3.30	4.6	230	35	0	835
346	278	36	7.20	3.6	240	27	0	838
347	392	44	10.00	3.1	240	21	0	836
348	456	49	12.20	0	0	17	0	840
349	435	52	12.80	0	0	15	1	840
350	406	49	13.30	1.5	360	14	1	840
351	308	41	12.80	0	0	15	1	840
352	167	31	10.60	2.1	30	25	1	840
353	32	14	8.90	2.6	40	29	0	836
354	0	0	7.80	3.1	20	29	0	838
355	0	0	4.40	2.1	120	36	3	837
356	0	0	3.90	2.1	160	35	2	837
357	0	0	2.20	2.6	220	40	6	837
358	0	0	2.20	3.6	240	38	4	836
359	0	0	-0.60	3.1	250	49	4	838
360	0	0	0.00	2.6	260	45	7	836
361	0	0	2.80	2.6	250	32	7	835
362	0	0	3.30	3.6	250	35	8	835
363	0	0	6.70	3.6	250	26	6	835
364	0	0	0.60	3.6	220	69	5	834
365	0	0	-1.10	3.6	240	79	4	840
366	0	0	-1.10	3.6	240	79	6	835
367	0	0	-1.10	4.1	220	76	7	836
368	1	11	0.00	3.6	220	62	9	835
369	22	73	0.00	2.1	100	62	7	836
370	43	189	-1.10	4.6	70	87	9	837
371	113	164	0.00	6.7	50	79	7	838
372	157	202	1.10	5.7	30	77	8	835
373	196	244	2.20	9.3	20	62	7	836
374	218	177	2.20	9.8	10	59	8	835
375	196	87	1.70	10.3	10	64	5	836
376	102	76	1.70	6.2	10	64	4	836
377	9	31	1.70	4.1	350	67	4	835
378	0	0	0.00	4.1	10	72	3	835
379	0	0	0.60	5.7	10	60	2	836
380	0	0	1.10	3.1	20	37	6	835
381	0	0	-0.60	3.1	10	47	7	836
382	0	0	-1.10	2.1	360	49	10	837
383	0	0	-1.70	3.6	340	49	7	835
384	0	0	-2.20	3.1	360	51	10	837
385	0	0	-2.20	3.1	350	48	9	834
386	0	0	-1.70	3.1	310	46	7	835
387	0	0	-1.70	2.6	280	42	8	835
388	0	0	1.70	3.6	310	32	9	835
389	0	0	-0.60	5.2	340	41	9	835
390	0	0	-0.60	2.6	300	41	10	838
391	0	0	0.00	2.6	340	39	10	836
392	0	7	-5.00	3.1	280	71	10	838
393	0	52	-2.20	3.1	300	59	10	839
394	73	104	0.00	4.6	330	52	7	839
395	115	185	0.00	5.2	360	54	8	841
396	250	114	-1.10	4.1	20	57	6	840
397	280	157	-2.20	3.1	310	59	6	840
398	265	151	-2.80	2.1	10	57	5	840
399	263	70	-4.40	3.6	350	61	5	840
400	51	111	-5.60	3.1	20	62	6	839
401	5	18	-6.70	1.5	10	68	8	836
402	0	0	-8.30	0	0	74	4	838
403	0	0	-9.40	1.5	210	78	5	838
404	0	0	-9.40	2.1	230	78	7	838
405	0	0	-10.00	2.1	230	78	10	836
406	0	0	-10.60	3.6	250	78	7	837
407	0	0	-11.10	3.6	220	82	8	837
408	0	0	-11.70	3.1	160	82	10	836
409	0	0	-11.70	3.6	180	82	5	835
410	0	0	-11.70	3.1	200	78	0	835
411	0	0	-11.70	3.1	210	78	0	835
412	0	0	-12.20	2.6	200	82	1	834
413	0	0	-11.70	4.1	210	82	0	838
414	0	0	-11.70	3.1	230	82	5	836
415	0	0	-11.70	3.6	230	78	0	837
416	17	7	-9.40	3.6	230	78	0	836
417	147	22	-8.30	2.6	270	71	0	840
418	300	31	-3.90	2.1	330	56	0	840
419	418	38	1.10	2.1	310	43	0	839
420	484	42	3.90	1.5	300	35	0	839
421	493	43	7.20	2.1	280	28	0	838
422	443	40	13.30	2.1	240	13	0	837
423	340	34	12.80	2.1	200	12	0	837
424	195	25	11.70	0	0	12	0	837
425	43	13	11.70	3.1	50	12	0	833
426	0	0	10.00	3.6	60	14	0	833
427	0	0	11.10	3.6	90	13	0	831
428	0	0	10.60	3.6	100	13	0	831
429	0	0	11.10	3.6	50	12	0	829
430	0	0	10.60	2.1	340	12	0	828
431	0	0	10.60	1.5	360	11	0	829
432	0	0	9.40	0	0	13	0	828
433	0	0	11.10	2.1	270	10	0	828
434	0	0	10.60	4.1	220	10	0	826
435	0	0	8.90	2.1	270	12	0	827
436	0	0	7.80	0	0	13	5	825
437	0	0	4.40	1.5	260	20	5	829
438	0	0	7.20	1.5	210	19	4	829
439	0	0	10.60	0	0	11	5	832
440	13	9	9.40	2.1	230	11	1	833
441	125	34	12.20	2.6	160	9	3	836
442	278	41	12.80	2.6	160	8	1	837
443	391	51	15.00	2.1	230	7	1	834
444	467	52	15.00	2.6	40	8	0	838
445	441	61	15.60	4.1	40	7	3	835
446	373	68	15.60	5.7	50	7	4	836
447	295	57	15.00	5.2	60	7	4	835
448	156	51	12.20	4.1	90	9	7	836
449	30	22	11.70	2.1	100	10	5	836
450	0	0	10.60	2.6	130	11	2	835
451	0	0	9.40	2.1	70	12	3	833
452	0	0	0.60	2.1	30	32	2	832
453	0	0	-2.20	4.1	130	56	0	832
454	0	0	-3.30	4.1	170	68	0	831
455	0	0	-5.00	3.1	150	79	0	836
456	0	0	-5.60	2.6	120	91	0	832
457	0	0	-5.60	3.1	160	96	0	832
458	0	0	-5.60	2.6	160	96	0	830
459	0	0	-5.00	3.1	170	91	0	830
460	0	0	-5.00	3.1	180	91	0	830
461	0	0	-5.00	3.6	190	95	0	833
462	0	0	-5.00	3.6	190	91	0	830
463	0	0	-4.40	3.1	180	90	0	830
464	12	10	-4.40	2.1	200	90	0	832
465	129	32	-4.40	2.1	130	86	0	833
466	277	44	-1.70	0	0	72	0	833
467	393	53	1.10	2.6	20	61	0	833
468	458	59	1.70	2.6	30	58	0	836
469	469	59	3.30	2.1	40	49	0	836
470	420	56	5.60	3.6	40	40	0	836
471	320	48	6.70	2.6	30	35	0	836
472	180	36	7.20	3.1	20	34	0	835
473	36	20	5.60	2.1	360	40	0	831
474	0	0	3.90	2.1	320	45	0	833
475	0	0	0.60	2.1	270	57	0	833
476	0	0	0.00	2.1	290	60	0	832
477	0	0	-1.70	2.1	270	69	0	831
478	0	0	-1.70	3.1	260	65	0	832
479	0	0	-2.80	3.1	250	72	0	828
480	0	0	-3.30	3.1	230	72	0	828
481	0	0	-5.00	3.1	210	79	1	829
482	0	0	-5.60	3.6	180	83	0	827
483	0	0	-6.10	4.1	180	83	0	825
484	0	0	-6.10	4.6	160	83	0	825
485	0	0	-6.70	5.2	170	83	0	828
486	0	0	-6.70	3.6	240	83	0	828
487	0	0	-5.60	4.1	230	72	0	826
488	13	10	-1.70	4.1	200	54	0	826
489	131	33	2.80	4.6	230	40	0	827
490	281	46	6.70	4.6	240	31	0	827
491	398	56	10.60	3.6	220	24	0	825
492	465	61	12.80	3.1	210	19	0	826
493	456	71	14.40	2.1	180	16	3	825
494	289	125	15.60	1.5	160	13	2	826
495	303	49	15.60	3.1	130	11	1	826
496	151	53	15.00	2.1	120	13	2	825
497	7	27	11.10	3.6	100	16	3	824
498	0	0	8.30	3.6	120	20	2	825
499	0	0	3.30	4.1	140	32	1	825
500	0	0	3.90	4.6	150	34	0	825
501	0	0	2.20	5.2	160	42	0	825
502	0	0	1.70	5.2	130	41	2	825
503	0	0	1.10	5.7	130	43	8	827
504	0	0	1.10	5.2	140	43	7	824
505	0	0	1.10	5.2	160	41	7	822
506	0	0	0.60	4.6	160	41	6	823
507	0	0	0.60	4.6	150	39	2	822
508	0	0	-0.60	5.2	160	38	1	824
509	0	0	0.00	5.2	190	35	1	827
510	0	0	-0.60	4.1	210	37	1	825
511	0	0	-0.60	4.6	200	33	0	824
512	19	8	1.10	4.1	170	28	0	826
513	154	24	4.40	4.6	150	22	0	828
514	309	34	8.30	6.7	170	17	0	830
515	429	42	12.20	4.6	190	12	0	829
516	497	46	14.40	4.1	230	10	0	830
517	509	46	16.10	4.6	210	7	0	830
518	460	43	16.10	4.6	210	6	0	829
519	356	37	16.10	1.5	200	6	0	831
520	210	28	15.00	2.6	180	7	0	831
521	46	18	11.10	3.1	150	12	1	829
522	0	0	6.70	5.7	170	17	1	830
523	0	0	4.40	5.2	210	22	0	831
524	0	0	3.30	5.7	210	24	1	828
525	0	0	3.30	6.7	210	24	0	826
526	0	0	1.10	7.2	210	34	0	829
527	0	0	-1.10	7.7	210	44	0	831
528	0	0	0.00	8.8	210	39	0	828
529	0	0	0.00	7.7	210	37	1	827
530	0	0	-2.80	7.7	220	49	7	827
531	0	0	-1.10	7.2	220	38	1	827
